DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;;;;;;;;;
01/07/2026;0;0;compute_energy;;;;22;03/04/2025;JLF;;01/04/2043;0;0;compute_energy;;;;89;03/04/2025
01/08/2026;0;0;current;;;;2;07/10/2024;JLF;;01/07/2043;0;0;compute_energy;;;;90;03/04/2025
01/09/2026;0;0;current;;;;3;07/10/2024;JLF;;01/10/2043;0;0;compute_energy;;;;91;03/04/2025
01/10/2026;0;0;current;;;;4;07/10/2024;JLF;;01/01/2044;0;0;compute_energy;;;;92;03/04/2025
01/10/2026;0;0;compute_energy;;;;23;03/04/2025;JLF;;01/04/2044;0;0;compute_energy;;;;93;03/04/2025
01/11/2026;0;0;current;;;;5;07/10/2024;JLF;;01/07/2044;0;0;compute_energy;;;;94;03/04/2025
01/12/2026;0;0;current;;;;6;07/10/2024;JLF;;01/10/2044;0;0;compute_energy;;;;95;03/04/2025
01/01/2027;0;0;current;;;;7;24/10/2024;JLF;;01/01/2045;0;0;compute_energy;;;;96;03/04/2025
01/01/2027;0;0;compute_energy;;;;24;03/04/2025;JLF;;01/04/2045;0;0;compute_energy;;;;97;03/04/2025
01/02/2027;0;0;current;;;;8;24/10/2024;JLF;;01/07/2045;0;0;compute_energy;;;;98;03/04/2025
01/03/2027;0;0;current;;;;9;24/10/2024;JLF;;01/10/2045;0;0;compute_energy;;;;99;03/04/2025
01/04/2027;0;0;current;;;;10;24/10/2024;JLF;;01/01/2046;0;0;compute_energy;;;;100;03/04/2025
01/04/2027;0;0;compute_energy;;;;25;03/04/2025;JLF;;01/04/2046;0;0;compute_energy;;;;101;03/04/2025
01/05/2027;0;0;current;;;;11;24/10/2024;JLF;;01/07/2046;0;0;compute_energy;;;;102;03/04/2025
01/06/2027;0;0;current;;;;12;24/10/2024;JLF;;01/10/2046;0;0;compute_energy;;;;103;03/04/2025
01/07/2027;0;0;current;;;;13;24/10/2024;JLF;;01/01/2047;0;0;compute_energy;;;;104;03/04/2025
01/07/2027;0;0;compute_energy;;;;26;03/04/2025;JLF;;01/04/2047;0;0;compute_energy;;;;105;03/04/2025
01/08/2027;0;0;current;;;;14;24/10/2024;JLF;;01/07/2047;0;0;compute_energy;;;;106;03/04/2025
01/09/2027;0;0;current;;;;15;24/10/2024;JLF;;01/10/2047;0;0;compute_energy;;;;107;03/04/2025
01/10/2027;0;0;current;;;;16;24/10/2024;JLF;;01/01/2048;0;0;compute_energy;;;;108;03/04/2025
01/10/2027;0;0;compute_energy;;;;27;03/04/2025;JLF;;01/04/2048;0;0;compute_energy;;;;109;03/04/2025
01/11/2027;0;0;current;;;;17;24/10/2024;JLF;;01/07/2048;0;0;compute_energy;;;;110;03/04/2025
01/12/2027;0;0;current;;;;18;24/10/2024;JLF;;01/10/2048;0;0;compute_energy;;;;111;03/04/2025
01/01/2028;0;0;current;;;;19;24/10/2024;JLF;;01/01/2049;0;0;compute_energy;;;;112;03/04/2025
01/01/2028;0;0;compute_energy;;;;28;03/04/2025;JLF;;01/04/2049;0;0;compute_energy;;;;113;03/04/2025
01/02/2028;0;0;current;;;;20;24/10/2024;JLF;;01/07/2049;0;0;compute_energy;;;;114;03/04/2025
01/03/2028;0;0;current;;;;21;24/10/2024;JLF;;01/10/2049;0;0;compute_energy;;;;115;03/04/2025
01/04/2028;0;0;current;;;;22;24/10/2024;JLF;;01/01/2050;0;0;compute_energy;;;;116;03/04/2025
01/04/2028;0;0;compute_energy;;;;29;03/04/2025;JLF;;01/04/2050;0;0;compute_energy;;;;117;03/04/2025
01/05/2028;0;0;current;;;;23;24/10/2024;JLF;;01/07/2050;0;0;compute_energy;;;;118;03/04/2025
01/06/2028;0;0;current;;;;24;24/10/2024;JLF;;01/10/2050;0;0;compute_energy;;;;119;03/04/2025
01/07/2028;0;0;current;;;;25;24/10/2024;JLF;;01/01/2051;0;0;compute_energy;;;;120;03/04/2025
01/07/2028;0;0;compute_energy;;;;30;03/04/2025;JLF;;01/04/2051;0;0;compute_energy;;;;121;03/04/2025
01/08/2028;0;0;current;;;;26;24/10/2024;JLF;;01/07/2051;0;0;compute_energy;;;;122;03/04/2025
01/09/2028;0;0;current;;;;27;24/10/2024;JLF;;01/10/2051;0;0;compute_energy;;;;123;03/04/2025
01/10/2028;0;0;current;;;;28;24/10/2024;JLF;;01/01/2052;0;0;compute_energy;;;;124;03/04/2025
