date;time;ID;X;Y
11/11/2021;07:23;2012-87761;159.954;-43.026
11/11/2021;09:09;2012-87761;159.803;-42.922
11/11/2021;21:58;2012-87761;160.04;-43.26
12/11/2021;03:51;2012-87761;160.268;-43.417
12/11/2021;07:53;2012-87761;160.508;-43.451
12/11/2021;08:45;2012-87761;160.568;-43.491
12/11/2021;09:39;2012-87761;160.57;-43.508
12/11/2021;14:18;2012-87761;160.666;-43.56
12/11/2021;15:13;2012-87761;160.724;-43.466
12/11/2021;15:56;2012-87761;160.74;-43.448
12/11/2021;15:57;2012-87761;160.74;-43.45
12/11/2021;19:16;2012-87761;160.91;-43.419
12/11/2021;19:57;2012-87761;160.93;-43.427
12/11/2021;21:05;2012-87761;160.928;-43.488
12/11/2021;21:36;2012-87761;160.982;-43.49
13/11/2021;03:34;2012-87761;161.356;-43.568
13/11/2021;07:28;2012-87761;161.688;-43.619
13/11/2021;08:22;2012-87761;161.752;-43.581
13/11/2021;15:44;2012-87761;162.295;-43.57
13/11/2021;20:52;2012-87761;162.23;-43.731
13/11/2021;21:14;2012-87761;162.385;-43.795
13/11/2021;21:19;2012-87761;162.389;-43.796
14/11/2021;03:25;2012-87761;162.82;-43.865
14/11/2021;07:07;2012-87761;162.951;-43.906
14/11/2021;09:38;2012-87761;163.103;-43.947
14/11/2021;20:59;2012-87761;163.839;-44.166
15/11/2021;01:33;2012-87761;163.884;-44.211
15/11/2021;03:17;2012-87761;164.022;-44.172
15/11/2021;03:53;2012-87761;164.008;-44.185
15/11/2021;07:19;2012-87761;164.207;-44.2
15/11/2021;08:19;2012-87761;164.229;-44.216
15/11/2021;08:58;2012-87761;164.287;-44.22
15/11/2021;09:08;2012-87761;164.349;-44.221
15/11/2021;09:12;2012-87761;164.358;-44.219
15/11/2021;13:08;2012-87761;164.631;-44.238
15/11/2021;13:46;2012-87761;164.643;-44.219
15/11/2021;14:42;2012-87761;164.624;-44.25
15/11/2021;14:46;2012-87761;164.624;-44.25
15/11/2021;15:23;2012-87761;164.659;-44.254
15/11/2021;20:28;2012-87761;164.676;-44.238
15/11/2021;20:36;2012-87761;164.695;-44.24
15/11/2021;20:37;2012-87761;164.687;-44.249
